,Id,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,Notes,purpose_cat,purpose,zip_code,addr_state,debt_to_income,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code
6100,6101,Northland Control Systems,3,RENT,55500.0,VERIFIED - income source,n,,debt consolidation,LendingClub Loan,944xx,CA,29.58,0.0,11/01/1999,3.0,,,22.0,0.0,17076,24.6,36.0,f,0.0,2,PC3
4860,4861,AAA Medical & Oxygen Supply,3,RENT,26400.0,VERIFIED - income,n,,car,Truck,787xx,TX,5.86,0.0,03/01/2003,0.0,,,7.0,0.0,641,42.7,9.0,f,0.0,2,PC4
4401,4402,Peoria Unified School District,3,MORTGAGE,37000.0,not verified,n,"  Borrower added on 09/12/10 > American Express increased my interest rate to 29.99% once the new credit card laws went into effect. I had just used the finds to help my husband start school and now my monthly payment to them is eaten up by interest charges! My husband's income is about $28,600 annually and he works for Wells Fargo (1 year 3 mos) and he gets bonuses ($750 for July), so there is more income than I was allowed to list.<br/>",debt consolidation,Upset with American Express loan,853xx,AZ,13.39,0.0,10/01/1998,1.0,,,13.0,0.0,10046,36.3,27.0,f,0.0,3,PC2
1416,1417,CA Technologies,5,MORTGAGE,275000.0,VERIFIED - income,n,The purpose of this loan is to fund advertising costs for a growing internet business venture. I am a successful sales professional earning an average of over $250K per year over the last 5 years. My credit scores are strong and I have a documented history of paying all my debts (personal or business related) on time. ,small business,Tickets Advertising,189xx,PA,8.08,0.0,10/01/1993,0.0,,,11.0,0.0,132519,74.4,33.0,f,0.0,3,PC3
8620,8621,Sol Meliíëí‹í«í‹íëí¢í«íÅ Vacation Club,1,MORTGAGE,65000.0,VERIFIED - income,n,"  Borrower added on 02/01/10 > With this loan, I plan to pay-off and close all high interest credit accounts. Then immediately begin to payoff Lending Club amount as soon as possible. Thank you for assistance in advance.<br/>",debt consolidation,Paying off high % credit,328xx,FL,14.29,0.0,03/01/1994,0.0,31.0,,11.0,0.0,21231,53.1,33.0,f,0.0,1,PC3
3689,3690,Coldwell Banker Bain,7,OWN,69600.0,not verified,n,,other,personal loan,980xx,WA,4.79,0.0,08/01/1995,2.0,33.0,115.0,5.0,1.0,13846,24.3,13.0,f,0.0,2,PC2
6140,6141,A.L.D.,2,OWN,54000.0,not verified,n, ,other,debit payoff,913xx,CA,4.78,0.0,07/01/2000,0.0,,,6.0,0.0,8077,76.9,6.0,f,0.0,3,PC4
4405,4406,,8,RENT,84000.0,VERIFIED - income,n,,home improvement,Pool Update,925xx,CA,14.24,0.0,12/01/1996,1.0,43.0,,9.0,0.0,7818,63.0,15.0,f,0.0,1,PC3
7045,7046,Dynamic / NDL,10,RENT,52000.0,VERIFIED - income,n,,debt consolidation,new start,070xx,NJ,13.85,0.0,01/01/2001,0.0,,,9.0,0.0,24514,95.4,19.0,f,0.0,1,PC4
6138,6139,pni,9,RENT,35000.0,not verified,n,,debt consolidation,putittogether,752xx,TX,10.8,0.0,08/01/1995,0.0,,,11.0,0.0,881,2.9,28.0,f,0.0,3,PC5
4473,4474,Vernon College,5,MORTGAGE,68000.0,VERIFIED - income,n,"  Borrower added on 01/14/11 > In June we used our first Lending Club loan to pay off a super high interest rate credit card, which had increased from around 13% to 29% despite no late/missed payments. We intend to use this loan to pay off that loan and further consolidate higher interest debt.<br/><br/>My husband and I both have excellent payment histories and five jobs between us. My income has risen slightly faster than inflation, and we recently slashed our utility bills 40% by switching electric companies. I am a good candidate for this loan because we continue to pay off and consolidate our debt. We have no problems paying our bills&mdash;no missed/late payments. We just want to pay them off faster and have fewer monthly payments. We&rsquo;re also planning on refinancing our mortgage to a lower interest rate (and payment) in the next 30-60 days. Thanks to all of you.<br/>",debt consolidation,Goodbye to Credit Cards & High Rates,763xx,TX,18.95,0.0,11/01/1989,0.0,,,10.0,0.0,11727,78.9,25.0,f,0.0,1,PC4
3334,3335,Estes Express Lines,1,OWN,76116.0,not verified,n,,car,Honda CB 350,531xx,WI,9.98,0.0,03/01/2001,1.0,79.0,,11.0,0.0,1812,9.2,32.0,f,0.0,1,PC3
4945,4946,Hans Wilson & Associates,6,RENT,30000.0,not verified,n,"I'd like to buy a used pop up camper.  Banks don't want to lend on older pop up campers but many are in like-new condition.  The bank said I could take a personal loan for the money but the interest rate is so high.  I can buy one from a private owner.  It's a Jayco 2002, 8 foot box on very good condition Camping is great way to see America on a budget, which is what I'm on!",other,2002 Jayco Pop up camper,339xx,FL,6.04,0.0,11/01/1990,0.0,71.0,91.0,4.0,1.0,10366,64.4,9.0,f,0.0,2,PC1
